run,sharpe,ann_return,max_drawdown,win_rate,n_trades
195,0.19024285832322715,0.056186598942760124,-0.6781949630168033,0.47958542713567837,685
196,-0.029653531288017728,-0.008607987327627353,-0.717347576319447,0.46825895663104966,668
197,0.008011048106106507,0.0023510913517952314,-0.7015044498860683,0.4776869893148963,703
198,0.025561166463589198,0.007456357193303953,-0.7665798775188992,0.47973609802073514,688
199,-0.6242440496765043,-0.1802720733322143,-0.9398354954838843,0.4596723377441714,678
200,-0.17404334579278077,-0.05021304286564121,-0.7194168628621807,0.46733668341708545,703
201,-0.24000381032618343,-0.07026605282084886,-0.7760693555297716,0.4820754716981132,684
202,-0.3247829020666934,-0.09276103406185643,-0.8508238879226019,0.46953517587939697,721
203,0.12197487529937726,0.03567812635826417,-0.5251340503679582,0.4776589049716803,695
204,-0.08154094497839341,-0.023703817057117438,-0.6000260243213054,0.4770440251572327,697
205,-0.04200078872314621,-0.012384050011333136,-0.7116501663542394,0.48553459119496856,660
206,-0.10326918961788022,-0.02995987994801219,-0.5810820442003819,0.47454431175361406,682
207,-0.5127944532510978,-0.1475623945702268,-0.9192281876639561,0.4599873976055451,690
208,0.09991799834378755,0.02887980329536055,-0.5170962997689783,0.4751884422110553,711
209,-0.06371362956433715,-0.018697502878734173,-0.6383193134881566,0.47538413295703985,693
210,0.14247664452433487,0.04169590226171316,-0.5171769437483204,0.4778232148474363,717
211,0.5774936600178967,0.16782838262426614,-0.5631635894262759,0.48412448915435397,661
212,-0.18776149184293384,-0.05469466761798525,-0.7954820808885101,0.48662259993704754,729
213,0.08788829669533804,0.025487703717534727,-0.7945503724449323,0.4781652529060635,693
214,0.4885033702928927,0.14217556251058183,-0.36167674845233333,0.48740554156171284,690
215,0.3201114920165129,0.09475161689074207,-0.5629636922611563,0.4888259364180044,655
216,-0.05979006702453252,-0.017567649978091793,-0.7384235108208097,0.4719949653870359,674
217,-0.29493946885619365,-0.08624281993835958,-0.7889506105428505,0.4655984919886899,704
218,-0.010653496335490781,-0.0031515661841574616,-0.6537288986154901,0.48693736229146994,659
219,0.2206301932589168,0.06526740571546608,-0.5271437612201821,0.474693492612386,709
220,-0.053457962666767604,-0.01570099535990277,-0.7671231427779726,0.47780925401322,705
221,-0.1519454944154036,-0.044407527093413,-0.8083292350496855,0.4700693131695022,678
222,-0.37629091658909236,-0.11055802793807845,-0.8750250010201346,0.4679245283018868,706
223,-0.16086779267429022,-0.04660236679028151,-0.7036914963487799,0.4742462311557789,706
224,-0.2141739543003729,-0.062336024809486745,-0.7413905847677769,0.4685929648241206,675
225,0.29284743283228337,0.08513663654531656,-0.5136018722686054,0.4784523435042466,714
226,0.018771035572052064,0.005492542198655359,-0.6000553004259426,0.4748427672955975,661
227,-0.17187694892410374,-0.04983164429907061,-0.6914124148895782,0.471608832807571,671
228,0.13881359266268142,0.040866384085097796,-0.5997093093440922,0.47924528301886793,666
229,-0.5845160838451691,-0.1690830262818327,-0.9317943028761156,0.4651381909547739,698
230,-0.07605243775319234,-0.021920516153697278,-0.6705900723634238,0.4792191435768262,678
231,-0.11379614938593992,-0.03329502733542977,-0.7460408937774485,0.48333333333333334,635
232,0.32866400607283175,0.09720749437964415,-0.47346788309295995,0.48636790974616106,671
233,-0.49299123110347887,-0.14300472569045197,-0.938193170718866,0.4611041405269762,707
234,-0.07877529336905001,-0.023113319917000275,-0.7520372272322422,0.46255506607929514,685
235,-0.526515250878909,-0.15185329307657336,-0.909653655127537,0.46361355081555833,687
236,0.44528394477187366,0.1313049063270102,-0.5700117797231905,0.48601947847942195,666
237,0.09717094171076521,0.02867303190150383,-0.6877692503782018,0.4747634069400631,636
238,0.03532476713683444,0.010059588093250138,-0.6818399242373594,0.48201892744479496,712
239,-0.3853795322430117,-0.11431405430030583,-0.9115270198368856,0.4722921914357683,704
240,-0.14221850426322688,-0.04211897531516573,-0.7840332925071266,0.4728363866077069,666
241,-0.33651150050518874,-0.09705581716648715,-0.7708321579042743,0.48217103187125276,716
242,-0.29649068419782354,-0.08598230293062603,-0.7658767188897577,0.47580138277812695,683
243,-0.3180941286488335,-0.09404407791913971,-0.8509259101325,0.46748350612629597,676
244,0.12127083198436733,0.03566390815685483,-0.6316378638767117,0.47674418604651164,651
245,-0.10508706257881212,-0.030971708193436753,-0.5008316848788091,0.4704588309239472,661
246,0.1536573889617502,0.04513264779316595,-0.6133360383772753,0.48475322225715184,666
247,-0.4224047868217075,-0.1241018749289835,-0.8555426070095149,0.4666666666666667,687
248,-0.47964518033872183,-0.14121003891186756,-0.9040150313335563,0.4655388471177945,682
249,-0.38345521388902243,-0.11250032308248314,-0.8322731179019112,0.46771653543307085,724
250,0.37653978218131856,0.11108865616904073,-0.690059116058825,0.4820415879017013,672
251,-0.4522171448162932,-0.13124110877747974,-0.8901662751995467,0.46547394852479596,719
252,0.23949432033800713,0.0713224328583626,-0.5275550607023952,0.4810404261986838,653
253,-0.33096176494677704,-0.09682409396338532,-0.7702979823692621,0.46352201257861636,684
254,-0.47792342343036814,-0.14038425696128398,-0.9027843798354901,0.4658267716535433,689
